Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,3,Parker Messick,CLE,SP,271,,,,,,,4.08,1.32,8.0,12,0,8
,,,,4,Mark Vientos,NYM,3B/DH,272,53,20,60,1,0.248,0.767,,,,,,
,,,,5,Jung Hoo Lee,SF,OF,273,60,9,46,9,0.273,0.745,,,,,,
,,,,6,Justin Crawford,PHI,OF,274,42,5,35,18,0.267,0.701,,,,,,
,,,,7,Kyle Teel,CWS,C,275,35,9,33,4,0.248,0.725,,,,,,
,,,,8,Robert Suarez,ATL,RP,276,,,,,,,3.51,1.20,9.8,0,8,4
,,,,9,Robert Garcia,TEX,RP,277,,,,,,,3.53,1.25,9.8,0,20,3
,,,,10,Roki Sasaki,LAD,SP,278,,,,,,,4.21,1.34,8.6,7,0,7
,,,,11,Miguel Vargas,CWS,1B/3B,279,57,15,56,6,0.238,0.735,,,,,,
,,,,12,Jordan Westburg,BAL,2B/3B,280,54,17,55,4,0.264,0.783,,,,,,
,,,,13,Matt Shaw,CHC,3B,281,27,7,26,8,0.244,0.729,,,,,,
,,,,14,David Peterson,NYM,SP,282,,,,,,,3.65,1.34,8.0,16,0,11
,,,,15,Andres Gimenez,TOR,2B/SS,283,60,12,55,18,0.253,0.694,,,,,,

22,253,252,Bench flexibility,1,Brett Baty,NYM,2B/3B,270,41,14,44,4,0.248,0.736,,,,,,
,,,,2,Parker Messick,CLE,SP,271,,,,,,,4.08,1.32,8.0,12,0,8
,,,,3,Mark Vientos,NYM,3B/DH,272,53,20,60,1,0.248,0.767,,,,,,
,,,,4,Jung Hoo Lee,SF,OF,273,60,9,46,9,0.273,0.745,,,,,,
,,,,5,Justin Crawford,PHI,OF,274,42,5,35,18,0.267,0.701,,,,,,
,,,,6,Kyle Teel,CWS,C,275,35,9,33,4,0.248,0.725,,,,,,
,,,,7,Robert Suarez,ATL,RP,276,,,,,,,3.51,1.20,9.8,0,8,4
,,,,8,Robert Garcia,TEX,RP,277,,,,,,,3.53,1.25,9.8,0,20,3
,,,,9,Roki Sasaki,LAD,SP,278,,,,,,,4.21,1.34,8.6,7,0,7
,,,,10,Miguel Vargas,CWS,1B/3B,279,57,15,56,6,0.238,0.735,,,,,,
,,,,11,Jordan Westburg,BAL,2B/3B,280,54,17,55,4,0.264,0.783,,,,,,
,,,,12,Matt Shaw,CHC,3B,281,27,7,26,8,0.244,0.729,,,,,,
,,,,13,David Peterson,NYM,SP,282,,,,,,,3.65,1.34,8.0,16,0,11
,,,,14,Andres Gimenez,TOR,2B/SS,283,60,12,55,18,0.253,0.694,,,,,,
,,,,15,Willi Castro,COL,2B/3B/OF,284,61,12,52,13,0.251,0.723,,,,,,

23,276,275,Final ceiling play,1,Mitch Keller,PIT,SP,286,,,,,,,4.35,1.32,7.8,15,0,10
,,,,2,Cedric Mullins II,TB,OF,287,44,12,43,16,0.227,0.683,,,,,,
,,,,3,Giancarlo Stanton,NYY,OF/DH,288,45,21,53,1,0.230,0.776,,,,,,
,,,,4,Zebby Matthews,MIN,SP,289,,,,,,,4.03,1.23,8.4,7,0,6
,,,,5,Braxton Ashcraft,PIT,SP/RP,290,,,,,,,4.08,1.33,7.6,10,0,8
,,,,6,Andrew Painter,PHI,SP,291,,,,,,,4.66,1.40,7.0,8,0,7
,,,,7,Will Warren,NYY,SP,292,,,,,,,4.02,1.30,8.8,9,0,8
,,,,8,Dillon Dingler,DET,C,293,36,10,39,1,0.245,0.709,,,,,,
,,,,9,Matt Wallner,MIN,OF,294,52,19,56,4,0.229,0.777,,,,,,
,,,,10,Yusei Kikuchi,LAA,SP,295,,,,,,,4.10,1.29,9.2,15,0,10
,,,,11,Jasson Dominguez,NYY,OF,296,13,4,13,5,0.251,0.735,,,,,,
,,,,12,Brady Singer,CIN,SP,297,,,,,,,4.37,1.32,8.4,14,0,10
,,,,13,Austin Wells,NYY,C,298,47,16,49,5,0.229,0.723,,,,,,
,,,,14,Reid Detmers,LAA,RP,299,,,,,,,4.03,1.29,9.5,12,0,8
,,,,15,Bailey Ober,MIN,SP,300,,,,,,,4.40,1.25,8.1,13,0,9

