Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,4,Framber Valdez,DET,SP,72,,,,,,,3.43,1.27,8.3,19,0,12
,,,,5,Geraldo Perdomo,ARI,SS,73,71,12,61,18,0.270,0.776,,,,,,
,,,,6,Cade Smith,CLE,RP,74,,,,,,,2.98,1.10,11.4,0,30,4
,,,,7,George Springer,TOR,OF/DH,76,86,26,73,13,0.259,0.795,,,,,,
,,,,8,Corey Seager,TEX,SS,77,72,25,75,3,0.276,0.858,,,,,,
,,,,9,Ben Rice,NYY,C/1B/DH,78,62,23,68,4,0.246,0.806,,,,,,
,,,,10,Randy Arozarena,SEA,OF,79,77,21,74,21,0.233,0.732,,,,,,
,,,,11,Bo Bichette,NYM,SS,80,63,15,64,5,0.288,0.786,,,,,,
,,,,12,Eugenio Suarez,CIN,3B,81,72,32,85,3,0.234,0.782,,,,,,

7,84,83,Add speed/power balance,1,David Bednar,NYY,RP,96,,,,,,,3.25,1.14,10.9,0,33,4
,,,,2,Michael Busch,CHC,1B,97,72,24,64,3,0.248,0.800,,,,,,
,,,,3,Trevor Story,BOS,SS,98,53,15,52,15,0.247,0.713,,,,,,
,,,,4,Alex Bregman,CHC,3B,99,85,23,77,3,0.260,0.784,,,,,,
,,,,5,Jose Altuve,HOU,2B/OF/DH,101,80,20,65,12,0.267,0.767,,,,,,
,,,,6,Willy Adames,SF,SS,102,70,23,72,11,0.233,0.739,,,,,,
,,,,7,Yandy Diaz,TB,1B/DH,103,84,21,67,3,0.287,0.820,,,,,,
,,,,8,Salvador Perez,KC,C/1B/DH,104,68,26,83,0,0.256,0.758,,,,,,
,,,,9,Tyler Glasnow,LAD,SP,105,,,,,,,3.61,1.22,10.5,13,0,10
,,,,10,Sonny Gray,BOS,SP,106,,,,,,,3.69,1.21,9.4,17,0,12
,,,,11,Jo Adell,LAA,OF,107,56,26,66,7,0.238,0.771,,,,,,
,,,,12,Drake Baldwin,ATL,C,108,65,18,61,1,0.268,0.789,,,,,,

8,85,84,SP depth with K/9 and QS,1,Michael Busch,CHC,1B,97,72,24,64,3,0.248,0.800,,,,,,
,,,,2,Trevor Story,BOS,SS,98,53,15,52,15,0.247,0.713,,,,,,
,,,,3,Alex Bregman,CHC,3B,99,85,23,77,3,0.260,0.784,,,,,,
,,,,4,Jose Altuve,HOU,2B/OF/DH,101,80,20,65,12,0.267,0.767,,,,,,
,,,,5,Willy Adames,SF,SS,102,70,23,72,11,0.233,0.739,,,,,,
,,,,6,Yandy Diaz,TB,1B/DH,103,84,21,67,3,0.287,0.820,,,,,,
,,,,7,Salvador Perez,KC,C/1B/DH,104,68,26,83,0,0.256,0.758,,,,,,
,,,,8,Tyler Glasnow,LAD,SP,105,,,,,,,3.61,1.22,10.5,13,0,10
,,,,9,Sonny Gray,BOS,SP,106,,,,,,,3.69,1.21,9.4,17,0,12
,,,,10,Jo Adell,LAA,OF,107,56,26,66,7,0.238,0.771,,,,,,
,,,,11,Drake Baldwin,ATL,C,108,65,18,61,1,0.268,0.789,,,,,,
,,,,12,Luis Robert Jr.,NYM,OF,109,58,18,60,26,0.232,0.697,,,,,,

9,108,107,"Best bat available, multi-position preferred",1,Michael King,SD,SP,122,,,,,,,3.80,1.25,9.4,15,0,10
,,,,2,Taylor Ward,BAL,OF,123,80,25,77,5,0.244,0.765,,,,,,
,,,,3,Ozzie Albies,ATL,2B,124,64,17,65,10,0.258,0.740,,,,,,
,,,,4,Zack Wheeler,PHI,SP,125,,,,,,,3.20,1.09,10.3,16,0,11
,,,,5,Ryan Pepiot,TB,SP,126,,,,,,,4.02,1.26,9.5,15,0,10
,,,,6,Ryan Helsley,BAL,RP,127,,,,,,,3.48,1.22,10.7,0,26,3
,,,,7,Lawrence Butler,ATH,OF,128,60,19,57,16,0.245,0.747,,,,,,
,,,,8,Blake Snell,LAD,SP,129,,,,,,,3.54,1.25,11.0,14,0,10
,,,,9,Cam Schlittler,NYY,SP,130,,,,,,,4.01,1.31,8.6,11,0,8
,,,,10,Jakob Marsee,MIA,OF,131,70,12,46,33,0.232,0.704,,,,,,
,,,,11,Ceddanne Rafaela,BOS,2B/OF,132,57,15,61,17,0.257,0.725,,,,,,
,,,,12,Kyle Stowers,MIA,OF,133,52,18,55,3,0.241,0.760,,,,,,
,,,,13,Raisel Iglesias,ATL,RP,134,,,,,,,3.71,1.20,9.7,0,26,3
,,,,14,Matt Chapman,SF,3B,135,76,22,72,9,0.238,0.757,,,,,,
,,,,15,Sandy Alcantara,MIA,SP,136,,,,,,,4.16,1.32,7.6,16,0,10

10,109,108,Closer/SP value pocket,1,Taylor Ward,BAL,OF,123,80,25,77,5,0.244,0.765,,,,,,
,,,,2,Ozzie Albies,ATL,2B,124,64,17,65,10,0.258,0.740,,,,,,
,,,,3,Zack Wheeler,PHI,SP,125,,,,,,,3.20,1.09,10.3,16,0,11
,,,,4,Ryan Pepiot,TB,SP,126,,,,,,,4.02,1.26,9.5,15,0,10
,,,,5,Ryan Helsley,BAL,RP,127,,,,,,,3.48,1.22,10.7,0,26,3
,,,,6,Lawrence Butler,ATH,OF,128,60,19,57,16,0.245,0.747,,,,,,
,,,,7,Blake Snell,LAD,SP,129,,,,,,,3.54,1.25,11.0,14,0,10
,,,,8,Cam Schlittler,NYY,SP,130,,,,,,,4.01,1.31,8.6,11,0,8
,,,,9,Jakob Marsee,MIA,OF,131,70,12,46,33,0.232,0.704,,,,,,
,,,,10,Ceddanne Rafaela,BOS,2B/OF,132,57,15,61,17,0.257,0.725,,,,,,
,,,,11,Kyle Stowers,MIA,OF,133,52,18,55,3,0.241,0.760,,,,,,
,,,,12,Raisel Iglesias,ATL,RP,134,,,,,,,3.71,1.20,9.7,0,26,3
,,,,13,Matt Chapman,SF,3B,135,76,22,72,9,0.238,0.757,,,,,,
,,,,14,Sandy Alcantara,MIA,SP,136,,,,,,,4.16,1.32,7.6,16,0,10
,,,,15,Daniel Palencia,CHC,RP,137,,,,,,,3.61,1.26,10.1,0,32,4

11,132,131,Batting average and OBP stabilizer,1,Robbie Ray,SF,SP,147,,,,,,,4.19,1.31,9.4,15,0,10
,,,,2,MacKenzie Gore,TEX,SP,148,,,,,,,3.82,1.26,10.2,14,0,10
,,,,3,Trevor Rogers,BAL,SP,149,,,,,,,4.20,1.35,7.7,13,0,10
,,,,4,Yainer Diaz,HOU,C/DH,150,57,19,65,2,0.273,0.763,,,,,,
,,,,5,Brenton Doyle,COL,OF,151,55,16,56,17,0.245,0.705,,,,,,
,,,,6,Bubba Chandler,PIT,SP,152,,,,,,,4.30,1.36,8.2,12,0,9
,,,,7,Shota Imanaga,CHC,SP,153,,,,,,,4.11,1.20,8.2,13,0,9
,,,,8,Tanner Bibee,CLE,SP,154,,,,,,,4.10,1.27,8.5,16,0,10
,,,,9,Gavin Williams,CLE,SP,155,,,,,,,4.09,1.35,9.2,15,0,10
,,,,10,Josh Hader,HOU,RP,156,,,,,,,3.29,1.12,12.3,0,29,3
